title,id,brand_normalized,ddr_type,capacity_gb,speed_mhz,price_usd,cluster,cluster_8
Patriot Memory Viper Venom 32GB (2 x 16GB) 288-Pin PC RAM DDR5 6400 (PC5 51200) Desktop Memory Model PVV532G640C32K Compatible with AMD / Intel Gen14 Only,56,Other,DDR5,32,6400,379.99,0,0
G.SKILL Flare X5 8GB 288-Pin PC RAM DDR5 6000 (PC5 48000) Desktop Memory Model F5-6000J3038F8GH1-FX5,57,G.SKILL,DDR5,8,6000,129.99,1,5
CORSAIR Vengeance LPX 16GB (2 x 8GB) 288-Pin PC RAM DDR4 3200 (PC4 25600) Desktop Memory Model CMK16GX4M2B3200C16,58,CORSAIR,DDR4,16,3200,164.99,1,3
G.SKILL Ripjaws S5 Series 32GB (2 x 16GB) 288-Pin PC RAM DDR5 6000 (PC5 48000) Desktop Memory Model F5-6000J3636F16GX2-RS5K,59,G.SKILL,DDR5,32,6000,479.99,0,0
CORSAIR Vengeance RGB 32GB (2 x 16GB) 288-Pin PC RAM DDR5 6000 (PC5 48000) Desktop Memory Model CMH32GX5M2N6000Z30,60,CORSAIR,DDR5,32,6000,575.99,0,1
G.SKILL Flare X5 128GB (2 x 64GB) 288-Pin PC RAM DDR5 6000 (PC5 48000) Desktop Memory Model F5-6000J3444F64GX2-FX5,61,G.SKILL,DDR5,128,6000,2799.99,0,4
CORSAIR Vengeance 16GB (2 x 8GB) 288-Pin PC RAM DDR5 6000 (PC5 48000) Desktop memory Model CMK16GX5M2E6000Z36,62,CORSAIR,DDR5,16,6000,249.99,0,0
Team T-FORCE VULCAN Z 32GB (2 x 16GB) 288-Pin PC RAM DDR4 3200 (PC4 25600) Desktop Memory Model TLZGD432G3200HC16FDC01,63,Team,DDR4,32,3200,249.99,1,3
Team T-FORCE VULCAN Z 16GB (2 x 8GB) 288-Pin PC RAM DDR4 3200 (PC4 25600) Desktop Memory Model TLZGD416G3200HC16CDC01,64,Team,DDR4,16,3200,149.99,1,3
G.SKILL Trident Z5 Neo RGB Series AMD EXPO 32GB (2 x 16GB) 288-Pin PC RAM DDR5 6000 (PC5 48000) Desktop Memory Model F5-6000J3038F16GX2-TZ5NR,65,G.SKILL,DDR5,32,6000,488.0,0,1
CORSAIR Vengeance 32GB (2 x 16GB) 288-Pin PC RAM DDR5 6000 (PC5 48000) Desktop Memory Model CMK32GX5M2E6000C36,66,CORSAIR,DDR5,32,6000,409.99,0,0
G.SKILL Ripjaws V Series 32GB (2 x 16GB) 288-Pin PC RAM DDR4 3600 (PC4 28800) Desktop Memory Model F4-3600C18D-32GVK,67,G.SKILL,DDR4,32,3600,279.99,1,3
CORSAIR Vengeance 64GB (2 x 32GB) 288-Pin PC RAM DDR5 5600 (PC5 44800) Desktop Memory Model CMK64GX5M2B5600C40,68,CORSAIR,DDR5,64,5600,839.99,0,4
Patriot Memory Viper Venom RGB DDR5 RAM 32GB (2X16GB) 6000MT/s CL30 UDIMM Desktop Gaming Memory Kit - PVVR532G600C30K Compatible with AMD / Intel Gen14 Only,69,Other,DDR5,32,6000,389.99,0,1
CORSAIR Vengeance 32GB (2 x 16GB) 288-Pin PC RAM DDR5 6000 (PC5 48000) Desktop Memory Model CMK32GX5M2B6000Z38,70,CORSAIR,DDR5,32,6000,399.99,0,0
G.SKILL Ripjaws S5 Series 32GB (2 x 16GB) 288-Pin PC RAM DDR5 6400 (PC5 51200) Desktop Memory Model F5-6400J3239G16GX2-RS5K,71,G.SKILL,DDR5,32,6400,499.99,0,0
Kingston FURY Beast 32GB (2 x 16GB) 288-Pin PC RAM DDR4 3200 (PC4 25600) Memory (Desktop Memory) Model KF432C16BBK2/32,72,Kingston,DDR4,32,3200,319.99,1,3
Team T-Force Delta RGB 32GB (2 x 16GB) 288-Pin PC RAM DDR5 6000 (PC5 48000) Desktop Memory Model FF3D532G6000HC30DC01,73,Team,DDR5,32,6000,469.99,0,1
G.SKILL 8GB DDR4 3200 (PC4 25600) Desktop Memory Model F4-3200C16S-8GVKB,74,G.SKILL,DDR4,8,3200,69.99,1,2
Team T-Force Vulcan 16GB (2 x 8GB) 288-Pin PC RAM DDR5 5200 (PC5 41600) Desktop Memory Model FLBD516G5200HC40CDC01,75,Team,DDR5,16,5200,239.99,0,0
Kingston FURY Beast 32GB (2 x 16GB) 288-Pin PC RAM DDR5 6000 (PC5 48000) Memory (Desktop Memory) Model KF560C30BBEAK2-32,76,Kingston,DDR5,32,6000,499.99,0,0
CORSAIR Vengeance RGB 64GB (2 x 32GB) 288-Pin PC RAM DDR5 6000 (PC5 48000) Desktop Memory Model CMH64GX5M2N6000C30,77,CORSAIR,DDR5,64,6000,1189.99,0,1
G.SKILL Trident Z5 RGB Series 64GB (2 x 32GB) 288-Pin PC RAM DDR5 6400 (PC5 51200) Desktop Memory Model F5-6400J3239G32GX2-TZ5RK,78,G.SKILL,DDR5,64,6400,979.99,0,1
Kingston FURY Beast 16GB (2 x 8GB) 288-Pin PC RAM DDR5 6000 (PC5 48000) Memory (Desktop Memory) Model KF560C36BBEAK2-16,79,Kingston,DDR5,16,6000,279.99,0,0
Team Group T-CREATE EXPERT 32GB (2 x 16GB) 288-Pin PC RAM DDR5 6000 (PC5 48000) Desktop Memory Model CTCWD532G6000HC30DC01,80,Team,DDR5,32,6000,469.99,0,0
G.SKILL Flare X5 16GB (2 x 8GB) 288-Pin PC RAM DDR5 5600 (PC5 44800) Desktop Memory Model F5-5600J3636C8GH2-FX5,81,G.SKILL,DDR5,16,5600,264.99,0,0
Crucial Pro Overclocking 32GB (2 x 16GB) DDR5 6400 (PC5 51200) Desktop Memory Model CP2K16G64C38U5B,82,Crucial,DDR5,32,6400,398.99,0,0
"V-COLOR Manta XSky DDR5 32GB (2x16GB) 6000MHz CL28 1.4V SK Hynix IC RGB Gaming Desktop Upgrade Memory Module Black, for AMD EXPO (TMXSAL1660828KWK)",83,Other,DDR5,32,6000,439.99,0,1
G.SKILL Trident Z5 Neo RGB Series AMD EXPO 32GB (2 x 16GB) 288-Pin PC RAM DDR5 6000 (PC5 48000)  Desktop Memory Model F5-6000J3636F16GX2-TZ5NR,84,G.SKILL,DDR5,32,6000,509.99,0,1
CORSAIR Vengeance RGB 32GB (2 x 16GB) 288-Pin PC RAM DDR5 6000 (PC5 48000) Custom Lab Cherry Blossom Desktop Memory Model CMH32GX5M2B6000Z30CB - Gray,85,CORSAIR,DDR5,32,6000,604.99,0,1
Crucial Pro Overclocking 32GB (2 x 16GB) DDR5 6400 (PC5 51200) Desktop Memory Model CP2K16G64C32U5B,86,Crucial,DDR5,32,6400,399.99,0,0
G.SKILL Flare X5 64GB (2 x 32GB) 288-Pin PC RAM DDR5 5600 (PC5 44800) Desktop Memory Model F5-5600J3636D32GX2-FX5,87,G.SKILL,DDR5,64,5600,949.99,0,4
CORSAIR Vengeance 64GB (2 x 32GB) 288-Pin PC RAM DDR5 4800 (PC5 38400) Desktop Memory Model CMH64GX5M2A4800C40,88,CORSAIR,DDR5,64,4800,909.99,0,4
Crucial 16GB 288-Pin PC RAM DDR5 4800 (PC5 38400) Desktop Memory Model CT16G48C40U5,89,Crucial,DDR5,16,4800,199.99,0,5
G.SKILL Trident Z5 RGB Series 64GB (2 x 32GB) 288-Pin PC RAM DDR5 6000 (PC5 48000) Desktop Memory Model F5-6000J3636F32GX2-TZ5RK,90,G.SKILL,DDR5,64,6000,904.99,0,1
CORSAIR Vengeance RGB Pro SL 32GB (2 x 16GB) 288-Pin PC RAM DDR4 3600 (PC4 28800) Desktop Memory Model CMH32GX4M2D3600C18W,91,CORSAIR,DDR4,32,3600,250.0,1,7
Crucial Pro Overclocking 64GB (2 x 32GB) DDR5 6000 (PC5 48000) Desktop Memory Model CP2K32G60C40U5W,92,Crucial,DDR5,64,6000,735.99,0,4
Kingston FURY Beast 32GB (2 x 16GB) 288-Pin PC RAM DDR5 6000 (PC5 48000) Memory (Desktop Memory) Model KF560C30BWEAK2-32,93,Kingston,DDR5,32,6000,499.99,0,0
CORSAIR Vengeance RGB 32GB (2 x 16GB) 288-Pin PC RAM DDR5 6000 (PC5 48000) Desktop Memory Model CMK32GX5M2B6000Z38,94,CORSAIR,DDR5,32,6000,449.99,0,1
XPG LANCER 16GB 288-Pin PC RAM DDR5 6000 (PC5 48000) Desktop Memory Model AX5U6000C3016G-CLARBK,95,Other,DDR5,16,6000,199.99,0,5
Patriot Viper Venom RGB 32GB (2 x 16GB) 288-Pin PC RAM DDR5 5600 (PC5 44800) Desktop Memory Model PVVR532G560C36K,96,Other,DDR5,32,5600,379.99,0,1
"V-COLOR Manta XSky DDR5 32GB (2x16GB) 6400MHz CL32 1.4V SK Hynix IC Gaming Desktop Memory Module Black, for AMD EXPO TMXSAO1664832KKK",98,Other,DDR5,32,6400,419.99,0,0
G.SKILL Trident Z Neo (For AMD Ryzen) Series 32GB (2 x 16GB) 288-Pin RGB PC RAM DDR4 3600 (PC4 28800) Desktop Memory Model F4-3600C16D-32GTZNC,99,G.SKILL,DDR4,32,3600,339.99,1,7
Crucial Pro Overclocking 64GB (2 x 32GB) DDR5 6400 (PC5 51200) Desktop Memory Model CP2K32G64C40U5W,100,Crucial,DDR5,64,6400,749.99,0,4
CORSAIR Vengeance RGB 96GB (2 x 48GB) 288-Pin PC RAM DDR5 6000 (PC5 48000) Desktop Memory Model CMH96GX5M2E6000Z36,101,CORSAIR,DDR5,96,6000,1324.99,0,4
G.SKILL Ripjaws V Series 32GB (2 x 16GB) 288-Pin PC RAM DDR4 3600 (PC4 28800) Desktop Memory Model F4-3600C16D-32GVKC,102,G.SKILL,DDR4,32,3600,329.99,1,3
Kingston Kingston Fury 16GB (2 x 8GB) 288-Pin PC RAM DDR5 5600 (PC5 44800) Memory (Desktop Memory) Model KF556C36BBEK2-16,103,Kingston,DDR5,16,5600,249.99,0,0
G.SKILL TridentZ RGB Series 32GB (2 x 16GB) 288-Pin PC RAM DDR4 3600 (PC4 28800) Desktop Memory Model F4-3600C16D-32GTZRC,104,G.SKILL,DDR4,32,3600,339.99,1,7
Team T-CREATE EXPERT 96GB (2 x 48GB) 288-Pin PC RAM DDR5 6400 (PC5 51200) Desktop Memory Model CTCED596G6400HC32ADC01,105,Team,DDR5,96,6400,1399.99,0,4
CORSAIR Vengeance 32GB (2 x 16GB) 288-Pin PC RAM DDR5 5200 (PC5 41600) Desktop Memory Model CMK32GX5M2B5200C40,106,CORSAIR,DDR5,32,5200,467.99,0,0
G.SKILL Trident Z5 Neo RGB Series 128GB (2 x 64GB) 288-Pin PC RAM DDR5 6000 (PC5 48000) Desktop Memory Model F5-6000J3444F64GX2-TZ5NR,107,G.SKILL,DDR5,128,6000,2899.99,0,4
CORSAIR Vengeance LPX 32GB (2 x 16GB) 288-Pin PC RAM DDR4 2666 (PC4 21300) Memory Kit Model CMK32GX4M2A2666C16,108,CORSAIR,DDR4,32,2666,259.99,1,3
XPG LANCER RGB 32GB (2 x 16GB) 288-Pin PC RAM DDR5 6000 (PC5 48000) Desktop Memory Model AX5U6000C3016G-DCLARBK,109,Other,DDR5,32,6000,409.99,0,1
Patriot Viper Venom RGB 32GB (2 x 16GB) 288-Pin PC RAM DDR5 6000 (PC5 48000) Desktop Memory Model PVVR532G600C36K Compatible with AMD / Intel Gen14 Only,110,Other,DDR5,32,6000,389.99,0,1
G.SKILL Trident Z5 Neo RGB Series 64GB (2 x 32GB) 288-Pin PC RAM DDR5 6000 (PC5 48000) Desktop Memory Model F5-6000J3040G32GX2-TZ5NR,111,G.SKILL,DDR5,64,6000,1045.78,0,1
G.SKILL Ripjaws V Series 16GB (2 x 8GB) 288-Pin PC RAM DDR4 3600 (PC4 28800) Desktop Memory Model F4-3600C18D-16GVK,113,G.SKILL,DDR4,16,3600,159.99,1,3
CORSAIR Dominator Titanium 64GB (2 x 32GB) DDR5 6000 (PC5 48000) Desktop Memory Model CMP64GX5M2B6000Z30,114,CORSAIR,DDR5,64,6000,1274.99,0,4
